"","id_i","rho_val","D_max_i","marital","kids","ymin_group","mass","actual","optimalc","optimalv"
"1",1,1,44,0,0,"(0.216,0.259]",6.15116551009242e-06,12,44,44
"2",2,1,44,0,0,"(0.259,0.302]",4.92521163246957e-05,12,44,44
"3",3,1,44,0,0,"(0.302,0.345]",0.000179014279352689,12,44,44
"4",4,1,44,0,0,"(0.345,0.388]",0.000426805198139825,12,44,44
"5",5,1,44,0,0,"(0.388,0.432]",0.00077819581789495,12,44,44
"6",6,1,44,0,0,"(0.432,0.475]",0.00122983073586368,12,44,44
"7",7,1,44,0,0,"(0.475,0.518]",0.00173018961517926,12,44,44
"8",8,1,44,0,0,"(0.518,0.561]",0.00228330693180822,12,44,44
"9",9,1,44,0,0,"(0.561,0.604]",0.0028244239419285,12,44,44
"10",10,1,44,0,0,"(0.604,0.647]",0.00347331184660133,12,44,44
"11",11,1,44,0,0,"(0.647,0.69]",0.00409070978808729,12,44,44
"12",12,1,44,0,0,"(0.69,0.734]",0.00461010201982441,12,44,44
"13",13,1,44,0,0,"(0.734,0.777]",0.0051893817337017,12,44,44
"14",14,1,44,0,0,"(0.777,0.82]",0.0056469365787597,12,44,44
"15",15,1,44,0,0,"(0.82,0.863]",0.00587066366177612,12,44,44
"16",16,1,44,0,0,"(0.863,0.906]",0.00759622665795255,12,39,44
"17",17,1,44,0,0,"(0.906,0.949]",0.00653131221932339,12,31,44
"18",18,1,44,0,0,"(0.949,0.993]",0.00666491052103835,12,19,44
"19",19,1,44,0,0,"(0.993,1.04]",0.00533865600131691,12,11,44
"20",20,1,44,0,0,"(1.04,1.08]",0.0067342851250476,12,8,44
"21",21,1,44,0,0,"(1.08,1.12]",0.00670344207771108,12,8,44
"22",22,1,44,0,0,"(1.12,1.17]",0.00666096911261536,12,2,44
"23",23,1,44,0,0,"(1.17,1.21]",0.00655089197958337,12,0,44
"24",24,1,44,0,0,"(1.21,1.25]",0.00635091341010425,12,0,44
"25",25,1,44,0,0,"(1.25,1.29]",0.00627886619669523,12,0,44
"26",26,1,44,0,0,"(1.29,1.34]",0.00614598375846025,11,0,44
"27",27,1,44,0,0,"(1.34,1.38]",0.00583079797725632,10,0,44
"28",28,1,44,0,0,"(1.38,1.42]",0.00577238926322826,9,0,44
"29",29,1,44,0,0,"(1.42,1.47]",0.0055595245230973,8,0,44
"30",30,1,44,0,0,"(1.47,1.51]",0.00538682123914842,6,0,44
"31",31,1,44,0,0,"(1.51,1.55]",0.00514815278519772,5,0,44
"32",32,1,44,0,0,"(1.55,1.6]",0.0049790229799437,4,0,44
"33",33,1,44,0,0,"(1.6,1.64]",0.0047944162924139,3,0,2
"34",34,1,44,0,0,"(1.64,1.68]",0.00451261462042682,1,0,0
"35",35,1,44,0,0,"(1.68,1.73]",0.00442323607166141,0,0,0
"36",36,1,44,0,0,"(1.73,1.77]",0.0042252755239349,0,0,0
"37",37,1,44,0,0,"(1.77,1.81]",0.0040450304740652,0,0,0
"38",38,1,44,0,0,"(1.81,1.86]",0.00390249775782142,0,0,0
"39",39,1,44,0,0,"(1.86,1.9]",0.00364385064488739,0,0,0
"40",40,1,44,0,0,"(1.9,1.94]",0.00354780605951527,0,0,0
"41",41,1,44,0,0,"(1.94,1.99]",0.00344249458673027,0,0,0
"42",42,1,44,0,0,"(1.99,2.03]",0.00320633779962263,0,0,0
"43",43,1,44,0,0,"(2.03,2.07]",0.00308320083138413,0,0,0
"44",44,1,44,0,0,"(2.07,2.11]",0.00295496705773091,0,0,0
"45",45,1,44,0,0,"(2.11,2.16]",0.00282063477076963,0,0,0
"46",46,1,44,0,0,"(2.16,2.2]",0.00274440074003085,0,0,0
"47",47,1,44,0,0,"(2.2,2.24]",0.00256452609289962,0,0,0
"48",48,1,44,0,0,"(2.24,2.29]",0.00245614083031357,0,0,0
"49",49,1,44,0,0,"(2.29,2.33]",0.0023604057677036,0,0,0
"50",50,1,44,0,0,"(2.33,2.37]",0.00223335687613715,0,0,0
"51",51,1,44,0,0,"(2.37,2.42]",0.00218918148285447,0,0,0
"52",52,1,44,0,0,"(2.42,2.46]",0.00198863304896904,0,0,0
"53",53,1,44,0,0,"(2.46,2.5]",0.00199872500425937,0,0,0
"54",54,1,44,0,0,"(2.5,2.55]",0.00190051711555449,0,0,0
"55",55,1,44,0,0,"(2.55,2.59]",0.00174684337651325,0,0,0
"56",56,1,44,0,0,"(2.59,2.63]",0.00168890832197659,0,0,0
"57",57,1,44,0,0,"(2.63,2.68]",0.00163905089993331,0,0,0
"58",58,1,44,0,0,"(2.68,2.72]",0.00156699538750516,0,0,0
"59",59,1,44,0,0,"(2.72,2.76]",0.00152434281540272,0,0,0
"60",60,1,44,0,0,"(2.76,2.8]",0.0014179800992199,0,0,0
"61",61,1,44,0,0,"(2.8,2.85]",0.00135430512222156,0,0,0
"62",62,1,44,0,0,"(2.85,2.89]",0.00129434544821638,0,0,0
"63",63,1,44,0,0,"(2.89,2.93]",0.0012539650565321,0,0,0
"64",64,1,44,0,0,"(2.93,2.98]",0.00118226541260601,0,0,0
"65",65,1,44,0,0,"(2.98,3.02]",0.00114525841711818,0,0,0
"66",66,1,44,0,0,"(3.02,3.06]",0.00108129202341982,0,0,0
"67",67,1,44,0,0,"(3.06,3.11]",0.00104508179735077,0,0,0
"68",68,1,44,0,0,"(3.11,3.15]",0.00101266916060269,0,0,0
"69",69,1,44,0,0,"(3.15,3.19]",0.000940167329074509,0,0,0
"70",70,1,44,0,0,"(3.19,3.24]",0.000924658874048886,0,0,0
"71",71,1,44,0,0,"(3.24,3.28]",0.000873126116018825,0,0,0
"72",72,1,44,0,0,"(3.28,3.32]",0.00084381534034377,0,0,0
"73",73,1,44,0,0,"(3.32,3.37]",0.000819194715163677,0,0,0
"74",74,1,44,0,0,"(3.37,3.41]",0.000754768476065749,0,0,0
"75",75,1,44,0,0,"(3.41,3.45]",0.000747575754948058,0,0,0
"76",76,1,44,0,0,"(3.45,3.5]",0.000702354925493229,0,0,0
"77",77,1,44,0,0,"(3.5,3.54]",0.000678451983411792,0,0,0
"78",78,1,44,0,0,"(3.54,3.58]",0.000652243203241505,0,0,0
"79",79,1,44,0,0,"(3.58,3.62]",0.000628440222860135,0,0,0
"80",80,1,44,0,0,"(3.62,3.67]",0.000597606186402702,0,0,0
"81",81,1,44,0,0,"(3.67,3.71]",0.000581652300333205,0,0,0
"82",82,1,44,0,0,"(3.71,3.75]",0.000554275146059978,0,0,0
"83",83,1,44,0,0,"(3.75,3.8]",0.00051022531122212,0,0,0
"84",84,1,44,0,0,"(3.8,3.84]",0.000516165725449148,0,0,0
"85",85,1,44,0,0,"(3.84,3.88]",0.000483219931710497,0,0,0
"86",86,1,44,0,0,"(3.88,3.93]",0.00048464977283801,0,0,0
"87",87,1,44,0,0,"(3.93,3.97]",0.000440295932352133,0,0,0
"88",88,1,44,0,0,"(3.97,4.01]",0.000429558157819168,0,0,0
"89",89,1,44,0,0,"(4.01,4.06]",0.000421469996685379,0,0,0
"90",90,1,44,0,0,"(4.06,4.1]",0.000398551063181646,0,0,0
"91",91,1,44,0,0,"(4.1,7]",0.0111135021653507,0,0,0
"92",92,1,44,0,1,"(0.173,0.216]",5.44997818776509e-07,17,44,44
"93",93,1,44,0,1,"(0.216,0.259]",8.28118712584186e-06,17,44,44
"94",94,1,44,0,1,"(0.259,0.302]",3.84520510844512e-05,17,44,44
"95",95,1,44,0,1,"(0.302,0.345]",0.000106882796962505,17,44,44
"96",96,1,44,0,1,"(0.345,0.388]",0.000218203236256033,17,44,44
"97",97,1,44,0,1,"(0.388,0.432]",0.000341895052924951,17,44,44
"98",98,1,44,0,1,"(0.432,0.475]",0.000524410144379656,17,44,44
"99",99,1,44,0,1,"(0.475,0.518]",0.000697237016844437,17,44,44
"100",100,1,44,0,1,"(0.518,0.561]",0.000892052967508672,17,44,44
"101",101,1,44,0,1,"(0.561,0.604]",0.0010883180774766,17,44,44
"102",102,1,44,0,1,"(0.604,0.647]",0.00128464909475039,17,44,44
"103",103,1,44,0,1,"(0.647,0.69]",0.00146545634977306,17,44,44
"104",104,1,44,0,1,"(0.69,0.734]",0.00158226312227665,17,44,44
"105",105,1,44,0,1,"(0.734,0.777]",0.00171329352470642,17,44,44
"106",106,1,44,0,1,"(0.777,0.82]",0.00185617657012216,17,44,44
"107",107,1,44,0,1,"(0.82,0.863]",0.00191788514950675,17,44,44
"108",108,1,44,0,1,"(0.863,0.906]",0.00230515151690583,17,44,44
"109",109,1,44,0,1,"(0.906,0.949]",0.00193336083662801,17,44,44
"110",110,1,44,0,1,"(0.949,0.993]",0.00200347059282761,17,44,44
"111",111,1,44,0,1,"(0.993,1.04]",0.00148980973637874,17,44,44
"112",112,1,44,0,1,"(1.04,1.08]",0.00192674758112456,17,44,44
"113",113,1,44,0,1,"(1.08,1.12]",0.0018547467418265,17,39,44
"114",114,1,44,0,1,"(1.12,1.17]",0.00181073837564822,17,29,44
"115",115,1,44,0,1,"(1.17,1.21]",0.00177758009637412,17,20,44
"116",116,1,44,0,1,"(1.21,1.25]",0.0016853655060313,17,19,44
"117",117,1,44,0,1,"(1.25,1.29]",0.00164599432271568,17,17,44
"118",118,1,44,0,1,"(1.29,1.34]",0.00156707495118106,17,8,44
"119",119,1,44,0,1,"(1.34,1.38]",0.00149703159121732,17,8,44
"120",120,1,44,0,1,"(1.38,1.42]",0.00143511318783352,17,3,44
