"","ymin_group","marital","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"1","(0,0.173]",0,31.0336465459914,44,44,5.68081100859133e-07
"2","(0,0.173]",1,43.1926183331419,44,44,1.20388925442005e-06
"3","(0.173,0.216]",0,27.7686954672583,44,44,7.99660925787624e-06
"4","(0.173,0.216]",1,40.6046953531592,44,44,1.52638991854339e-05
"5","(0.216,0.259]",0,23.8919718301461,44,44,5.49839710244396e-05
"6","(0.216,0.259]",1,38.2802816235166,44,44,8.52370360425546e-05
"7","(0.259,0.302]",0,21.3213758695886,44,44,0.000211396906034072
"8","(0.259,0.302]",1,36.7651698797751,44,44,0.000279533701501175
"9","(0.302,0.345]",0,19.8671052674038,44,44,0.000566249789830106
"10","(0.302,0.345]",1,35.7326042243557,44,44,0.000662494838057976
"11","(0.345,0.388]",0,18.9413478581618,44,44,0.00114319119943124
"12","(0.345,0.388]",1,35.0135232697158,44,44,0.00123989086534258
"13","(0.388,0.432]",0,18.4450936008807,44,44,0.00190066673066114
"14","(0.388,0.432]",1,34.6635427470648,44,44,0.00194073537735306
"15","(0.432,0.475]",0,18.1137195503416,44,44,0.00287793179844086
"16","(0.432,0.475]",1,34.2917075531972,44,44,0.00281482379845473
"17","(0.475,0.518]",0,17.8415754089522,44,44,0.00387749228829226
"18","(0.475,0.518]",1,34.1843809297447,44,44,0.00365155201811218
"19","(0.518,0.561]",0,17.6234075080497,44,44,0.00498139228448788
"20","(0.518,0.561]",1,34.0255323148376,44,44,0.00451953155086883
"21","(0.561,0.604]",0,17.4336539322338,44,44,0.00602625021942378
"22","(0.561,0.604]",1,33.8381472510248,44,44,0.00539135093082151
"23","(0.604,0.647]",0,17.2189935755241,44,44,0.00716792931854814
"24","(0.604,0.647]",1,33.7526661592763,44,44,0.0061792981616357
"25","(0.647,0.69]",0,16.9922131986561,44,44,0.00819659561736209
"26","(0.647,0.69]",1,33.5108945725937,44,44,0.00695980401005643
"27","(0.69,0.734]",0,16.849638405715,44,44,0.00904498107878714
"28","(0.69,0.734]",1,33.4569500515243,44,44,0.00752117461502177
"29","(0.734,0.777]",0,16.7118479765478,44,44,0.00992308505618348
"30","(0.734,0.777]",1,33.2854277601439,44,44,0.0081217899781579
"31","(0.777,0.82]",0,16.4946816592621,44,44,0.0105540215363712
"32","(0.777,0.82]",1,33.0781568478783,44,44,0.00858276137868874
"33","(0.82,0.863]",0,16.4367779489947,44,44,0.0108795332115829
"34","(0.82,0.863]",1,32.981147860745,44,44,0.00888470087321853
"35","(0.863,0.906]",0,16.252215621669,41.2119531534371,44,0.0136228461643624
"36","(0.863,0.906]",1,32.7931952554106,44,37.3592395268307,0.011113621860435
"37","(0.906,0.949]",0,16.1309730425537,36.6214580316935,44,0.0115072949663919
"38","(0.906,0.949]",1,32.5524231520193,44,31.5987361192868,0.00946430481060372
"39","(0.949,0.993]",0,16.0629677529355,29.7660514040762,44,0.0117060112942711
"40","(0.949,0.993]",1,32.461663339234,44,24.2764645372117,0.00953357039628507
"41","(0.993,1.04]",0,15.9815656465807,24.7790291531576,44,0.00916580382163164
"42","(0.993,1.04]",1,32.3578590262607,44,12.9215738397821,0.00767340866444916
"43","(1.04,1.08]",0,15.929903371373,23.02901497045,44,0.0115604614737983
"44","(1.04,1.08]",1,32.1998136910557,44,11.4853012597709,0.00966096047029663
"45","(1.08,1.12]",0,15.8390078874902,21.888898753355,44,0.0113335670490295
"46","(1.08,1.12]",1,32.0752556659181,44,5.13295324471872,0.00945804999493975
"47","(1.12,1.17]",0,15.7708600537037,16.4321279592941,44,0.0111333140951676
"48","(1.12,1.17]",1,31.9610659195555,44,0,0.00948698844004013
"49","(1.17,1.21]",0,15.6996496037472,13.623412228275,44,0.0108932962418727
"50","(1.17,1.21]",1,31.8283920667841,42.3851342492624,0,0.00925005950811911
"51","(1.21,1.25]",0,15.6931964800359,12.5074309356277,44,0.0105014177123432
"52","(1.21,1.25]",1,31.7118873333235,37.0352749634952,0,0.00913063965450348
"53","(1.25,1.29]",0,15.5825351262461,11.3757081779453,44,0.0102381198396395
"54","(1.25,1.29]",1,31.6073344110964,29.153349108514,0,0.00889322302513986
"55","(1.29,1.34]",0,14.9292016516651,6.75751551769945,44,0.00995280906822976
"56","(1.29,1.34]",1,31.5161645299718,28.8533000407374,0,0.00867926125353857
"57","(1.34,1.38]",0,14.3066611657034,6.65044947249664,44,0.00944308667840356
"58","(1.34,1.38]",1,31.4234219546473,28.6055710989214,0,0.00839992136618569
"59","(1.38,1.42]",0,13.5769919848346,4.58701091144226,44,0.00921823676683849
"60","(1.38,1.42]",1,31.355154837229,28.4383541346232,0,0.00817349031028548
"61","(1.42,1.47]",0,12.9267899330261,2.77767744239585,44,0.00886342412063079
"62","(1.42,1.47]",1,31.2777726322431,27.3550857121184,0,0.00789262096559994
"63","(1.47,1.51]",0,11.5927031330199,2.43476525407044,44,0.00852261430125376
"64","(1.47,1.51]",1,31.1565516165294,20.869846542536,0,0.00765553688887513
"65","(1.51,1.55]",0,10.9183636674339,1.62294768873967,44,0.00811246107516105
"66","(1.51,1.55]",1,31.062898368367,20.264860661532,0,0.00740940750926133
"67","(1.55,1.6]",0,10.1964204679574,0.720200607475566,44,0.0077986148293837
"68","(1.55,1.6]",1,31.0330412219683,20.1226576640936,0,0.00710675702651802
"69","(1.6,1.64]",0,9.50951129488276,0.406923313862169,13.4090335214517,0.00747260408255547
"70","(1.6,1.64]",1,30.9542930543202,19.9363473058108,0,0.0068075537094259
"71","(1.64,1.68]",0,8.2596420781511,0,0,0.00704749464060089
"72","(1.64,1.68]",1,30.924749626373,19.8382032051726,0,0.00657784329531795
"73","(1.68,1.73]",0,7.43952608174069,0,0,0.00682663978426826
"74","(1.68,1.73]",1,30.823219364779,18.4309382801759,0,0.00630674420538396
"75","(1.73,1.77]",0,7.49201075896582,0,0,0.00654922521113101
"76","(1.73,1.77]",1,30.7726088249629,13.6585937273018,0,0.00610266053200042
"77","(1.77,1.81]",0,7.33736502667548,0,0,0.00619680797850138
"78","(1.77,1.81]",1,30.725941416378,9.56969642952649,0,0.00579393178521519
"79","(1.81,1.86]",0,7.29309309203036,0,0,0.00596239389409832
"80","(1.81,1.86]",1,30.6497885446935,9.51138289978997,0,0.00558205573937749
"81","(1.86,1.9]",0,7.38917143569955,0,0,0.00560622743577237
"82","(1.86,1.9]",1,30.6332117786682,9.4234369274551,0,0.00534023225491078
"83","(1.9,1.94]",0,7.17078997188027,0,0,0.00537626604168701
"84","(1.9,1.94]",1,30.5796930216432,6.27601457447991,0,0.00506776340307726
"85","(1.94,1.99]",0,6.79600988223934,0,0,0.00520513104925899
"86","(1.94,1.99]",1,30.495376223941,6.1394107187643,0,0.00491728184923822
"87","(1.99,2.03]",0,6.55076319909797,0,0,0.00487753946953146
"88","(1.99,2.03]",1,30.5046764750898,3.64085808241632,0,0.00466578096740416
"89","(2.03,2.07]",0,6.09153282186622,0,0,0.00465552684667692
"90","(2.03,2.07]",1,30.4239702650665,3.58394924879767,0,0.00446219754701341
"91","(2.07,2.11]",0,5.38432226989693,0,0,0.00444384707407429
"92","(2.07,2.11]",1,30.4144336904689,3.06157541074958,0,0.00427571837559146
"93","(2.11,2.16]",0,5.04922386689637,0,0,0.00424988905307002
"94","(2.11,2.16]",1,30.351827871215,3.04628574237388,0,0.00408101548997387
"95","(2.16,2.2]",0,4.61964770970232,0,0,0.0040842617874183
"96","(2.16,2.2]",1,30.3146984233174,0.708176515194263,0,0.00392459536516526
"97","(2.2,2.24]",0,4.3753839321294,0,0,0.00386010595223005
"98","(2.2,2.24]",1,30.3394905344217,0,0,0.00373344843436086
"99","(2.24,2.29]",0,3.63426999870391,0,0,0.00365775667252779
"100","(2.24,2.29]",1,30.2553122845619,0,0,0.00354984360116802
"101","(2.29,2.33]",0,3.28437292129776,0,0,0.00351340052851432
"102","(2.29,2.33]",1,30.1946897970517,0,0,0.00341992862543296
"103","(2.33,2.37]",0,2.95931858348568,0,0,0.00331613029117686
"104","(2.33,2.37]",1,30.2741238193776,0,0,0.00322137811184526
"105","(2.37,2.42]",0,2.58396430697214,0,0,0.00323392709748918
"106","(2.37,2.42]",1,30.1047665970577,0,0,0.00314440520567801
"107","(2.42,2.46]",0,2.00001405440734,0,0,0.00297604709306085
"108","(2.42,2.46]",1,30.2303700709447,0,0,0.00293673983113243
"109","(2.46,2.5]",0,1.59222713482057,0,0,0.00292528389016725
"110","(2.46,2.5]",1,30.0662466103578,0,0,0.00285055034881653
"111","(2.5,2.55]",0,1.28296897892827,0,0,0.00279445855757868
"112","(2.5,2.55]",1,30.1039076164865,0,0,0.00272819927432766
"113","(2.55,2.59]",0,1.12269877834774,0,0,0.00259699208546808
"114","(2.55,2.59]",1,30.1201055818115,0,0,0.00257462610816566
"115","(2.59,2.63]",0,0.747823940365044,0,0,0.00249210144972716
"116","(2.59,2.63]",1,29.0724108745339,0,0,0.00247188133683354
"117","(2.63,2.68]",0,0.563338077204781,0,0,0.00239999867409301
"118","(2.63,2.68]",1,28.0446460699528,0,0,0.00235626333861985
"119","(2.68,2.72]",0,0.378245474461132,0,0,0.00229195087580645
"120","(2.68,2.72]",1,27.0072953740556,0,0,0.00225473913676086
"121","(2.72,2.76]",0,0.319551843064087,0,0,0.00222106186383803
"122","(2.72,2.76]",1,24.9421842480629,0,0,0.00218864637984481
"123","(2.76,2.8]",0,0.203490706506109,0,0,0.00208098287429132
"124","(2.76,2.8]",1,24.0267847618108,0,0,0.00204933503515094
"125","(2.8,2.85]",0,0.141495683864904,0,0,0.00197862734594841
"126","(2.8,2.85]",1,22.9491609654015,0,0,0.00197053961044124
"127","(2.85,2.89]",0,0.0833230062647361,0,0,0.00189192792068743
"128","(2.85,2.89]",1,21.9465384726165,0,0,0.00188465285789208
"129","(2.89,2.93]",0,0.0660221562591669,0,0,0.00182400933888252
"130","(2.89,2.93]",1,19.8931200497415,0,0,0.0018281672426413
"131","(2.93,2.98]",0,0.0321997670643818,0,0,0.00172060839221383
"132","(2.93,2.98]",1,18.9666180380448,0,0,0.00170905962963115
"133","(2.98,3.02]",0,0.0165938858327,0,0,0.0016600877073053
"134","(2.98,3.02]",1,17.8885149528829,0,0,0.00165020258222389
"135","(3.02,3.06]",0,0,0,0,0.00157491862402498
