"","ymin_group","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"1","(0,0.173]",2,29.9831891418941,44,44,4.48898605343219e-08
"2","(0,0.173]",3,34.5371572717668,44,44,2.1441332831505e-07
"3","(0,0.173]",4,40.2451976918394,44,44,1.51266716642981e-06
"4","(0.173,0.216]",1,23.5616105684676,44,44,1.20255710034271e-06
"5","(0.173,0.216]",2,29.3511179400098,44,44,4.17318823551541e-06
"6","(0.173,0.216]",3,34.5998248716638,44,44,5.17828759446687e-06
"7","(0.173,0.216]",4,40.2827374892957,44,44,1.27064755129851e-05
"8","(0.216,0.259]",0,15.3927933006733,44,44,8.57583519248852e-06
"9","(0.216,0.259]",1,23.2478853402206,44,44,1.72761238931759e-05
"10","(0.216,0.259]",2,29.162634780776,44,44,3.52177462819163e-05
"11","(0.216,0.259]",3,34.4870351465021,44,44,3.01014804599191e-05
"12","(0.216,0.259]",4,40.3218745392831,44,44,4.90498212394944e-05
"13","(0.259,0.302]",0,15.4927582512121,44,44,6.94732103951978e-05
"14","(0.259,0.302]",1,23.062415349551,44,44,7.77125110929618e-05
"15","(0.259,0.302]",2,28.9960049921307,44,44,0.000126459898343004
"16","(0.259,0.302]",3,34.610941438102,44,44,9.20112174760004e-05
"17","(0.259,0.302]",4,40.4265022053196,44,44,0.000125273770228083
"18","(0.302,0.345]",0,15.5481970081149,44,44,0.000254167229678072
"19","(0.302,0.345]",1,22.9436414209408,44,44,0.00021177635815436
"20","(0.302,0.345]",2,28.8892354745989,44,44,0.000306206567382049
"21","(0.302,0.345]",3,34.5221302556523,44,44,0.000205060095642547
"22","(0.302,0.345]",4,40.4972958666468,44,44,0.000251534377031055
"23","(0.345,0.388]",0,15.6383834608972,44,44,0.000612520599781946
"24","(0.345,0.388]",1,22.8057262136396,44,44,0.000422719260623921
"25","(0.345,0.388]",2,28.8344825186251,44,44,0.000564712621941053
"26","(0.345,0.388]",3,34.4911553466573,44,44,0.000366491898013647
"27","(0.345,0.388]",4,40.6188722775601,44,44,0.00041663768441326
"28","(0.388,0.432]",0,15.6172345295255,44,44,0.00111399392570753
"29","(0.388,0.432]",1,22.7362745903527,44,44,0.000655000078512445
"30","(0.388,0.432]",2,28.6258767689781,44,44,0.000893068578893382
"31","(0.388,0.432]",3,34.4844200683184,44,44,0.000569477407835326
"32","(0.388,0.432]",4,40.7272455344418,44,44,0.000609862117065511
"33","(0.432,0.475]",0,15.6845294565543,44,44,0.00177476052055725
"34","(0.432,0.475]",1,22.6034722731224,44,44,0.000983802775701828
"35","(0.432,0.475]",2,28.4785252479268,44,44,0.00128970404100502
"36","(0.432,0.475]",3,34.4603791175797,44,44,0.000828321646607132
"37","(0.432,0.475]",4,40.8107535489962,44,44,0.000816166613024357
"38","(0.475,0.518]",0,15.590321475984,44,44,0.00246885482279246
"39","(0.475,0.518]",1,22.396431303519,44,44,0.00126701857536394
"40","(0.475,0.518]",2,28.4700680437296,44,44,0.00169269074473521
"41","(0.475,0.518]",3,34.5013393891752,44,44,0.00108642865150129
"42","(0.475,0.518]",4,40.8908389608396,44,44,0.00101405151201154
"43","(0.518,0.561]",0,15.4936020431407,44,44,0.0032210676388123
"44","(0.518,0.561]",1,22.3577920048228,44,44,0.00161160801014911
"45","(0.518,0.561]",2,28.339922967608,44,44,0.00214039920416676
"46","(0.518,0.561]",3,34.5683468093171,44,44,0.00133918067053803
"47","(0.518,0.561]",4,40.9522364487413,44,44,0.0011886683116905
"48","(0.561,0.604]",0,15.5393718078576,44,44,0.0040059776335071
"49","(0.561,0.604]",1,22.2046498499741,44,44,0.00192187549447608
"50","(0.561,0.604]",2,28.3594032287466,44,44,0.0025594358381258
"51","(0.561,0.604]",3,34.6085956316087,44,44,0.00160490339911922
"52","(0.561,0.604]",4,41.0744323400018,44,44,0.00132540878501709
"53","(0.604,0.647]",0,15.3734110703127,44,44,0.00483154378850492
"54","(0.604,0.647]",1,22.1568951394987,44,44,0.00225274775869435
"55","(0.604,0.647]",2,28.3759511044318,44,44,0.00296851631338013
"56","(0.604,0.647]",3,34.6775303063535,44,44,0.00183265703739721
"57","(0.604,0.647]",4,41.0563378882495,44,44,0.00146176258220724
"58","(0.647,0.69]",0,15.3930414956828,44,44,0.00570335240171368
"59","(0.647,0.69]",1,22.1520964024889,44,44,0.00256800872659307
"60","(0.647,0.69]",2,28.3794800055838,44,44,0.003336575764748
"61","(0.647,0.69]",3,34.7197409164548,44,44,0.00201238819142362
"62","(0.647,0.69]",4,41.1887301047612,44,44,0.00153607454294015
"63","(0.69,0.734]",0,15.2901563195811,44,44,0.00635157486950817
"64","(0.69,0.734]",1,22.1440089157786,44,44,0.0027694256357797
"65","(0.69,0.734]",2,28.3629689299279,44,44,0.00370577680240668
"66","(0.69,0.734]",3,34.8609039179398,44,44,0.00214004072870956
"67","(0.69,0.734]",4,41.1963530966068,44,44,0.0015993376574048
"68","(0.734,0.777]",0,15.3038345821175,44,44,0.00716092413287879
"69","(0.734,0.777]",1,22.1210413058935,44,44,0.00298875501521635
"70","(0.734,0.777]",2,28.425229061851,44,44,0.00390139043739256
"71","(0.734,0.777]",3,34.7877245076656,44,44,0.00233268521174914
"72","(0.734,0.777]",4,41.1888568380134,44,44,0.00166112023710455
"73","(0.777,0.82]",0,15.3090809114461,44,44,0.00779701643228529
"74","(0.777,0.82]",1,22.1330141273329,44,44,0.00324365292931859
"75","(0.777,0.82]",2,28.4862103827928,44,44,0.00410265378289586
"76","(0.777,0.82]",3,34.9075110809708,44,44,0.00235227537442453
"77","(0.777,0.82]",4,41.3415114567985,44,44,0.00164118439613572
"78","(0.82,0.863]",0,15.3469216456881,44,44,0.00814137594237878
"79","(0.82,0.863]",1,22.1476304498968,44,44,0.00335863698328039
"80","(0.82,0.863]",2,28.5251875766375,44,44,0.00421240700183809
"81","(0.82,0.863]",3,35.0426881475777,44,44,0.00237773055829871
"82","(0.82,0.863]",4,41.2401298834774,44,44,0.00167408359900547
"83","(0.863,0.906]",0,15.3583846688524,40.3993269453552,37.0033652732241,0.0105483426885337
"84","(0.863,0.906]",1,22.2708982874113,44,44,0.00411077427335072
"85","(0.863,0.906]",2,28.6348302735392,44,44,0.00517189610548199
"86","(0.863,0.906]",3,35.0046548644524,44,44,0.00294608105697901
"87","(0.863,0.906]",4,41.3772719747872,44,44,0.00195937390045209
"88","(0.906,0.949]",0,15.4797832269411,34.7697651625195,31.2407948345494,0.00919879725122795
"89","(0.906,0.949]",1,22.3153552634766,44,44,0.00347069005967883
"90","(0.906,0.949]",2,28.6625241761017,44,44,0.00428178731000144
"91","(0.906,0.949]",3,35.0941752539814,44,44,0.00241975232826061
"92","(0.906,0.949]",4,41.3719420453779,44,44,0.00160057282782678
"93","(0.949,0.993]",0,15.4766709088029,26.2430643933393,31.2522066677228,0.00938353141087352
"94","(0.949,0.993]",1,22.2436702511395,44,24.7732090791552,0.00355838865294964
"95","(0.949,0.993]",2,28.6670184767198,44,44,0.00435779893311655
"96","(0.949,0.993]",3,35.1373637232204,44,44,0.00238723538997393
"97","(0.949,0.993]",4,41.4298539356523,44,44,0.00155262730364256
"98","(0.993,1.04]",0,15.5403537502696,20.7359728132413,31.0187029156782,0.00757287835975935
"99","(0.993,1.04]",1,22.496704462535,44,23.8454169707049,0.00274902420373683
"100","(0.993,1.04]",2,28.829895679083,44,18.9570491766955,0.00338483451243908
"101","(0.993,1.04]",3,35.1084268733257,44,44,0.001923091371625
"102","(0.993,1.04]",4,41.4662649172424,44,44,0.00120938403852054
"103","(1.04,1.08]",0,15.6019434543489,18.8058303630466,30.7928740007208,0.00962263364878377
"104","(1.04,1.08]",1,22.4543038853298,44,24.0008857537908,0.00353224020309711
"105","(1.04,1.08]",2,28.8006769075055,44,19.0641846724799,0.00429068025936078
"106","(1.04,1.08]",3,35.2220817656186,44,39.8889591171907,0.00228715756251291
"107","(1.04,1.08]",4,41.4180214426081,44,44,0.00148871027034036
"108","(1.08,1.12]",0,15.6417863305792,18.9253589917377,30.6467834545428,0.00962422212617444
"109","(1.08,1.12]",1,22.4669264585139,41.2778860243808,23.9546029854489,0.00340681315778596
"110","(1.08,1.12]",2,28.8255599522578,44,18.9729468417214,0.00410656437101007
"111","(1.08,1.12]",3,35.2132858619661,44,13.8846185061243,0.00225884643484193
"112","(1.08,1.12]",4,41.4900840122704,44,44,0.0013951709541569
"113","(1.12,1.17]",0,15.7116701146551,14.9908454012928,30.3905429129314,0.00964387644520715
"114","(1.12,1.17]",1,22.6166782036927,36.0208477546159,23.4055132531268,0.00340400518744779
"115","(1.12,1.17]",2,28.9293260667727,44,18.5924710885,0.00400386522207221
"116","(1.12,1.17]",3,35.2805054206436,44,13.6381467909736,0.00218421640630994
"117","(1.12,1.17]",4,41.4624694601508,44,9.30427864611372,0.00138433927417067
"118","(1.17,1.21]",0,15.7585131729621,12.2151678121269,30.2187850324723,0.00953841283797262
"119","(1.17,1.21]",1,22.5637743858161,31.1275487716321,23.5994939186744,0.00331420345326009
"120","(1.17,1.21]",2,28.8916412360267,44,18.7306488012355,0.0039339174880977
"121","(1.17,1.21]",3,35.3572537144707,44,13.3567363802743,0.00206643199302395
"122","(1.17,1.21]",4,41.5553586886974,44,8.96368480810946,0.00129038997763742
"123","(1.21,1.25]",0,15.8744040836991,7.4259411604233,29.7938516931033,0.00937912267681968
"124","(1.21,1.25]",1,22.6535997419226,30.7783327956721,23.2701342796171,0.00318674922002201
"125","(1.21,1.25]",2,28.9957264432172,41.9148860180072,18.349003041537,0.00377974671006164
"126","(1.21,1.25]",3,35.2773521490712,44,13.6497087867388,0.00205234503445495
"127","(1.21,1.25]",4,41.5474948558563,42.9781228566068,8.99251886186027,0.00123409372548844
"128","(1.25,1.29]",0,15.8804720314176,0,29.7716025514688,0.0092796520502038
"129","(1.25,1.29]",1,22.6915085375125,29.805894209403,23.1311353624543,0.00313100714965534
"130","(1.25,1.29]",2,29.0428394373334,41.5214197186667,18.1762553964441,0.00361082621039314
"131","(1.25,1.29]",3,35.384995204096,42.4937480017066,13.2550175849815,0.00192566028916472
"132","(1.25,1.29]",4,41.5524385143752,42.7762192571876,8.97439211395753,0.00118419716536236
"133","(1.29,1.34]",0,15.2524758057902,0,29.6070049650177,0.00913376026017394
"134","(1.29,1.34]",1,22.7401756667694,25.2205270003082,22.9526892218456,0.00300406184153538
"135","(1.29,1.34]",2,29.0211395624951,34.0422791249902,18.2558216041846,0.00351255432742502
"136","(1.29,1.34]",3,35.4216933294113,42.2108466647056,13.1204577921587,0.0018490412469151
"137","(1.29,1.34]",4,41.5526036953113,39.1052073906227,8.9737864505251,0.00113265264571889
"138","(1.34,1.38]",0,14.6916875686522,0,29.2546962128075,0.00876970689194714
"139","(1.34,1.38]",1,22.7840819687015,25.3522459061045,22.7916994480945,0.00289006048730908
"140","(1.34,1.38]",2,29.0993142041119,34.1986284082238,17.9691812515897,0.00335081214641528
"141","(1.34,1.38]",3,35.3725670052946,41.5817113368631,13.300587647253,0.0017614472624085
"142","(1.34,1.38]",4,41.5982064160278,39.1964128320556,8.80657647456466,0.00107098125650924
"143","(1.38,1.42]",0,14.0052573300346,0,29.3179118318984,0.00866313839260897
"144","(1.38,1.42]",1,22.8424507059167,22.9617065785486,22.5776807449723,0.00279678772048969
"145","(1.38,1.42]",2,29.1473391604721,34.2946783209442,17.7930897449356,0.00321405527862397
"146","(1.38,1.42]",3,35.4192208386695,36.838441677339,13.1295235915452,0.0017015730037355
"147","(1.38,1.42]",4,41.5996850796984,36.9990814824538,8.80115470777238,0.00101617268166583
"148","(1.42,1.47]",0,13.4049404539893,0,29.1364137515294,0.00839564817764991
"149","(1.42,1.47]",1,22.8600060346661,19.0450196126648,22.5133112062243,0.00269592569286512
"150","(1.42,1.47]",2,29.1091028678695,30.5500328866411,17.9332894844785,0.00307631932291994
"151","(1.42,1.47]",3,35.4560723517458,36.6168173994703,12.9944013769322,0.00162250566995971
"152","(1.42,1.47]",4,41.6204291243779,37.0595849461022,8.72509321061442,0.000965646222836052
"153","(1.47,1.51]",0,12.1794764814387,0,28.8946130453721,0.0082029177601495
"154","(1.47,1.51]",1,22.8897502393601,0.981625039893346,22.4042491223464,0.0025790807979606
"155","(1.47,1.51]",2,29.15514203447,29.8691642672043,17.7644792069432,0.00294847941660588
"156","(1.47,1.51]",3,35.4709717025332,36.6478577136109,12.9397704240448,0.00153934484702603
"157","(1.47,1.51]",4,41.629344761939,36.8880342858171,8.69240253955683,0.00090832836838688
"158","(1.51,1.55]",0,11.6587617077971,0,28.5797097293121,0.00792585805433764
"159","(1.51,1.55]",1,22.9432434112854,0,22.2081074919534,0.0024616626475119
"160","(1.51,1.55]",2,29.1934564068084,29.5803692204251,17.623993175036,0.00281459067728346
"161","(1.51,1.55]",3,35.5050895107344,33.8065110729753,12.8146717939739,0.00145102701149849
"162","(1.51,1.55]",4,41.6260227574196,35.6910796509686,8.70458322279479,0.000868730193790892
"163","(1.55,1.6]",0,10.9785190576757,0,28.6472580731135,0.00764739894332625
"164","(1.55,1.6]",1,22.9515863039232,0,22.1775168856151,0.00239578272359774
"165","(1.55,1.6]",2,29.2469872793833,27.3644554778416,17.4277133089279,0.00265548734105569
"166","(1.55,1.6]",3,35.5421173800681,33.6263521402044,12.6789029397502,0.00138379342199651
"167","(1.55,1.6]",4,41.6451152957745,35.7579035352106,8.63457724882697,0.000822909425925522
"168","(1.6,1.64]",0,10.374276037374,0,1.29768799644057,0.00738916643378766
