"","ymin_group","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"1","(0,0.173]",39.2945384033164,44,44,1.77197035527919e-06
"2","(0.173,0.216]",36.1918736914206,44,44,2.32605084433101e-05
"3","(0.216,0.259]",32.6382852827589,44,44,0.000140221007066994
"4","(0.259,0.302]",30.1150033978521,44,44,0.000490930607535247
"5","(0.302,0.345]",28.4212107533097,44,44,0.00122874462788808
"6","(0.345,0.388]",27.3035204302007,44,44,0.00238308206477383
"7","(0.388,0.432]",26.6389033450192,44,44,0.00384140210801419
"8","(0.432,0.475]",26.1130416477783,44,44,0.00569275559689558
"9","(0.475,0.518]",25.767761263683,44,44,0.00752904430640444
"10","(0.518,0.561]",25.4257982913227,44,44,0.0095009238353567
"11","(0.561,0.604]",25.1797977289997,44,44,0.0114176011502453
"12","(0.604,0.647]",24.8735040537151,44,44,0.0133472274801838
"13","(0.647,0.69]",24.5775756655572,44,44,0.0151563996274185
"14","(0.69,0.734]",24.3894981705786,44,44,0.0165661556938089
"15","(0.734,0.777]",24.1714249441044,44,44,0.0180448750343414
"16","(0.777,0.82]",23.9322959649189,44,44,0.01913678291506
"17","(0.82,0.863]",23.8740394776271,44,44,0.0197642340848014
"18","(0.863,0.906]",23.6837613324907,42.4645692646303,41.0164333610383,0.0247364680247975
"19","(0.906,0.949]",23.5418339649801,39.9513313359937,38.4034149682493,0.0209715997769956
"20","(0.949,0.993]",23.4236644491769,36.1550826445869,35.1469200976908,0.0212395816905562
"21","(0.993,1.04]",23.4440281349583,33.5377739197077,29.8379680895182,0.0168392124860808
"22","(1.04,1.08]",23.3367096102671,32.5759651195676,29.1978241580383,0.0212214219440949
"23","(1.08,1.12]",23.2248328040347,31.9471785202287,26.3194862338167,0.0207916170439693
"24","(1.12,1.17]",23.219649693378,29.1155540593781,23.7564807476012,0.0206203025352078
"25","(1.17,1.21]",23.1061527418492,26.8311241682392,23.7946964046739,0.0201433557499918
"26","(1.21,1.25]",23.1433017433414,23.9150435528628,23.5361159917657,0.0196320573668467
"27","(1.25,1.29]",23.0316783976073,19.6396615644827,23.5465579247687,0.0191313428647794
"28","(1.29,1.34]",22.6558032443703,17.0502571811572,23.50375408848,0.0186320703217683
"29","(1.34,1.38]",22.3646883947243,16.9862232829521,23.2861977538452,0.0178430080445893
"30","(1.38,1.42]",21.9320933019346,15.796290004741,23.3215721441718,0.017391727077124
"31","(1.42,1.47]",21.570676366002,14.3544049333671,23.2746247280171,0.0167560450862307
"32","(1.47,1.51]",20.8503594618379,11.1582864521768,23.1791027817795,0.0161781511901289
"33","(1.51,1.55]",20.5344138144802,10.5217171388448,22.9964765753343,0.0155218685844224
"34","(1.55,1.6]",20.1311475169727,9.97113036299441,23.0211668524739,0.0149053718559017
"35","(1.6,1.64]",19.7325428426337,9.71687665443337,7.01675710416786,0.0142801577919814
"36","(1.64,1.68]",19.2015744122263,9.57720040104826,0,0.0136253379359188
