"","rho","rho_val","REV","objective","constraint","allocround"
"1",1,1,0.800394941008323,"vlife","feasible","first"
"2",2,0.99,0.800764205181328,"vlife","feasible","first"
"3",3,0.784556530996812,0.807108860944985,"vlife","feasible","first"
"4",4,-3.64158883361278,0.995695080392923,"vlife","feasible","first"
"5",5,-99,0.999999853237209,"vlife","feasible","first"
"6",1,1,0.292027040144902,"c2020","feasible","first"
"7",2,0.99,0.295193158145356,"c2020","feasible","first"
"8",3,0.784556530996812,0.363488205865625,"c2020","feasible","first"
"9",4,-3.64158883361278,0.988579136807873,"c2020","feasible","first"
"10",5,-99,0.999996183085048,"c2020","feasible","first"
