"","rho","rho_val","REV","objective","constraint","allocround"
"1",1,1,0.800394941008323,"vlife","feasible","first"
"2",2,0.99,0.800764205181328,"vlife","feasible","first"
"3",3,0.962724062796851,0.801768493893809,"vlife","feasible","first"
"4",4,0.861050450562686,0.805015580718885,"vlife","feasible","first"
"5",5,0.482052532076879,0.816999967814809,"vlife","feasible","first"
"6",6,-0.93069772888325,0.862650273886106,"vlife","feasible","first"
"7",7,-6.19685673001151,0.999999834646213,"vlife","feasible","first"
"8",8,-25.8269579527972,0.99999984704021,"vlife","feasible","first"
"9",9,-99,0.999999853237209,"vlife","feasible","first"
"10",1,1,0.292232118078662,"c2020","feasible","first"
"11",2,0.99,0.2952659528253,"c2020","feasible","first"
"12",3,0.962724062796851,0.303817289757479,"c2020","feasible","first"
"13",4,0.861050450562686,0.336983799321031,"c2020","feasible","first"
"14",5,0.482052532076879,0.477521063109916,"c2020","feasible","first"
"15",6,-0.93069772888325,0.863963876800592,"c2020","feasible","first"
"16",7,-6.19685673001151,0.999284750512967,"c2020","feasible","first"
"17",8,-25.8269579527972,0.999992414548044,"c2020","feasible","first"
"18",9,-99,0.999996183085048,"c2020","feasible","first"
